ko,en
창세기,Genesis
출애굽기,Exodus
레위기,Leviticus
민수기,Numbers
신명기,Deuteronomy
여호수아,Joshua
사사기,Judges
룻기,Ruth
사무엘상,1 Samuel
사무엘하,2 Samuel
열왕기상,1 Kings
열왕기하,2 Kings
역대상,1 Chronicles
역대하,2 Chronicles
에스라,Ezra
느헤미야,Nehemiah
에스더,Esther
욥기,Job
시편,Psalms
잠언,Proverbs
전도서,Ecclesiastes
아가,Song of Songs
이사야,Isaiah
예레미야,Jeremiah
예레미야애가,Lamentations
에스겔,Ezekiel
다니엘,Daniel
호세아,Hosea
요엘,Joel
아모스,Amos
오바댜,Obadiah
요나,Jonah
미가,Micah
나훔,Nahum
하박국,Habakkuk
스바냐,Zephaniah
학개,Haggai
스가랴,Zechariah
말라기,Malachi
마태복음,Matthew
마가복음,Mark
누가복음,Luke
요한복음,John
사도행전,Acts
로마서,Romans
고린도전서,1 Corinthians
고린도후서,2 Corinthians
갈라디아서,Galatians
에베소서,Ephesians
빌립보서,Philippians
골로새서,Colossians
데살로니가전서,1 Thessalonians
데살로니가후서,2 Thessalonians
디모데전서,1 Timothy
디모데후서,2 Timothy
디도서,Titus
빌레몬서,Philemon
히브리서,Hebrews
야고보서,James
베드로전서,1 Peter
베드로후서,2 Peter
요한일서,1 John
요한이서,2 John
요한삼서,3 John
유다서,Jude
요한계시록,Revelation
창,Genesis
출,Exodus
레,Leviticus
민,Numbers
신,Deuteronomy
수,Joshua
삿,Judges
룻,Ruth
삼상,1 Samuel
삼하,2 Samuel
왕상,1 Kings
왕하,2 Kings
대상,1 Chronicles
대하,2 Chronicles
스가랴서,Zechariah
예레미야서,Jeremiah
애가,Lamentations
계시록,Revelation
요시야,Josiah
여호아하스,Jehoahaz
여호야김,Jehoiakim
여호야긴,Jehoiachin
여고냐,Jehoiachin
고니야,Jehoiachin
시드기야,Zedekiah
바벨론,Babylon
바빌론,Babylon
바사,Persia
페르시아,Persia
고레스,Cyrus
다리오,Darius
아닥사스다,Artaxerxes
스룹바벨,Zerubbabel
대제사장 여호수아,Joshua the high priest
남유다,the southern kingdom of Judah
북이스라엘,the northern kingdom of Israel
유다 왕국,the kingdom of Judah
이스라엘 왕국,the kingdom of Israel
바벨론 포로,the Babylonian exile
포로기,the time of exile
귀환,return from exile
하나님,God
주님,the Lord
여호와,the LORD
성령님,the Holy Spirit
성령,the Holy Spirit
성부,the Father
성자,the Son
삼위일체,Trinity
언약,covenant
새 언약,new covenant
은혜,grace
구원,salvation
회개,repentance
심판,judgment
의로움,righteousness
칭의,justification
성화,sanctification
영화,glorification
말씀,the Word
하나님의 말씀,the word of God
예배,worship
주일 예배,Sunday worship service
성전,the temple
제사장,priest
대제사장,high priest
레위인,Levites
선지자,prophet
선지자들,the prophets
거짓 선지자,false prophet
우상 숭배,idolatry
불순종,disobedience
순종,obedience
남은 자,the remnant
거룩,holiness
거룩함,holiness
하나님의 신실하심,God's faithfulness
말씀에 순종함,obedience to the word
